New Run at  07/13/2017 16:34:00
, Time, RandomReward; Uniform_LinUCBReward; 
data,1238536800000,0;7;0
data,1238536800000,0;39;0
data,1238536800000,0;60;0
data,1238536800000,0;92;0
data,1238536800000,0;112;0
data,1241128800000,0;133;0
data,1241128800000,0;153;0
data,1241128800000,0;188;0
data,1241128800000,0;215;0
data,1241128800000,0;245;0
data,1233442800000,0;259;0
data,1233442800000,0;288;0
data,1233442800000,1;312;0
data,1233442800000,1;338;0
data,1235862000000,1;353;0
data,1235862000000,1;391;0
data,1235862000000,1;401;0
data,1246399200000,1;431;0
data,1246399200000,1;451;0
data,1246399200000,1;488;0
data,1249077600000,1;506;0
data,1249077600000,1;517;0
data,1251756000000,1;310;0
data,1251756000000,1;561;0
data,1251756000000,1;592;0
data,1251756000000,1;603;0
data,1254348000000,1;630;0
data,1254348000000,1;666;0
data,1254348000000,1;683;0
data,1257030000000,1;694;0
data,1264978800000,1;724;0
data,1264978800000,2;760;0
data,1264978800000,2;771;0
data,1264978800000,2;787;0
data,1267398000000,2;828;0
data,1267398000000,2;842;0
data,1272664800000,2;873;0
data,1280613600000,2;888;0
data,1280613600000,2;920;0
data,1280613600000,2;929;0
data,1280613600000,2;85;0
data,1283292000000,2;971;0
data,1285884000000,2;997;0
data,1288566000000,2;1016;0
data,1288566000000,2;1028;0
data,1172703600000,2;1058;0
data,1172703600000,2;1082;0
data,1172703600000,2;1112;0
data,1172703600000,2;1129;0
data,1172703600000,2;1141;0
data,1172703600000,2;1171;0
data,1172703600000,2;1204;0
data,1175378400000,2;1211;0
data,1175378400000,2;1229;1
data,1175378400000,2;1270;1
data,1175378400000,2;1289;1
data,1177970400000,2;1302;1
data,1177970400000,2;1334;1
data,1177970400000,2;1354;1
data,1177970400000,2;1381;1
data,1180648800000,2;849;1
data,1180648800000,2;916;1
data,1180648800000,2;1449;1
data,1180648800000,2;1475;1
data,1180648800000,3;1482;2
data,1180648800000,3;1517;2
data,1180648800000,3;1529;2
data,1180648800000,3;224;2
data,1180648800000,3;1578;2
data,1180648800000,3;1475;2
data,1183240800000,3;436;2
data,1185919200000,3;1645;2
